trade_date,prev_trade_date,ts_code,industry,name,close,pct_chg,amount_x,limit_amount,float_mv,total_mv,turnover_ratio,fd_amount,first_time,last_time,open_times,up_stat,limit_times,limit,pre_close,price,amount_y,turnover_rate,auction_pct,auction_amount_yi,circ_mv_yi,prev_5d,prev_10d,high20,high60,prev_auction_pct,prev_auction_price,pct_rank,turn_rank,amt_rank,pct_pool_size,turn_pool_size,amt_pool_size,pct_rank_ratio,turn_rank_ratio,amt_rank_ratio,auction_new20,auction_new60,auction_price_ratio,daily_close,daily_open,daily_pct_chg,close_vs_auction_pct
20260410,20260409,603863.SH,造纸,松炀资源,20.6,9.98,269164368.0,,4215790000.0,4215790000.0,6.54,75707060.0,100109,100109,0,1/1,1,U,20.6,20.7,26264160.0,0.619985,0.4854368932038833,0.2626416,42.1579,31.377551020408177,7.571801566579639,21.38,21.88,-0.32034169781098853,18.67,25.0,12.0,29.0,50,50,50,0.5,0.24,0.58,False,False,1.1087305838243169,20.23,20.7,-1.7961,-2.270531400966178
20260410,20260409,603929.SH,专业工程,亚翔集成,198.99,10.0,1145013456.0,,42456506400.0,42456506400.0,2.82,92112471.0,104113,104113,0,1/1,1,U,198.99,204.0,25989600.0,0.0597113,2.517714458012965,0.259896,424.56506399999995,7.736870600974566,-0.4950495049504844,210.3,210.3,-1.9955776672194614,177.29,18.0,47.0,31.0,50,50,50,0.36,0.94,0.62,False,False,1.150657115460545,210.5,204.0,5.7842,3.1862745098039214
20260410,20260409,603958.SH,服装家纺,哈森股份,22.28,10.02,277251312.0,,4887340800.0,4887340800.0,5.88,39609384.0,104714,105841,1,1/1,1,U,22.28,22.37,8352958.0,0.170222,0.4039497307001705,0.08352958,48.873408000000005,8.155339805825236,7.166907166907177,22.28,23.01,-0.7407407407407307,20.1,26.0,34.0,46.0,50,50,50,0.52,0.68,0.92,True,False,1.1129353233830845,22.68,22.37,1.7953,1.3857845328564984
20260410,20260409,605056.SH,通用设备,咸亨国际,29.32,10.02,518823984.0,,11827488624.0,12003408624.0,4.54,26798480.0,130510,131234,2,1/1,1,U,29.32,29.12,9647456.0,0.0821283,-0.6821282401091366,0.09647456,118.27488624,20.163934426229524,20.31185884283955,29.32,29.32,0.0,26.65,39.0,44.0,44.0,50,50,50,0.78,0.88,0.88,False,False,1.0926829268292684,28.96,29.12,-1.2278,-0.5494505494505499
20260410,20260409,605189.SH,纺织制造,富春染织,16.02,10.03,142117965.0,,3109124529.72,3109124529.72,4.57,62907047.0,93000,93209,1,1/1,1,U,16.02,16.49,22741359.0,0.710592,2.933832709113604,0.22741359,31.091245299999997,8.536585365853666,15.835140997830809,16.02,16.5,10.027472527472515,16.02,16.0,10.0,33.0,50,50,50,0.32,0.2,0.66,True,False,1.029338327091136,16.81,16.49,4.9313,1.9405700424499714
20260410,20260409,000889.SZ,通信服务,中嘉博创,3.95,10.03,453154096.0,,3435906220.2,3698349924.0,13.64,51579171.0,94457,94457,0,2/2,2,U,3.95,4.35,33039468.0,0.873172,10.126582278481,0.33039468,34.3590622,16.176470588235304,11.581920903954801,3.95,4.04,1.9498607242339983,3.66,1.0,5.0,24.0,50,50,50,0.02,0.1,0.48,True,True,1.1885245901639343,4.35,4.35,10.1266,0.0
20260410,20260409,002342.SZ,通用设备,巨力索具,15.59,10.02,4158828048.0,,14883617100.0,14966400000.0,28.56,207131858.0,94227,131927,5,2/2,2,U,15.59,16.0,113449600.0,0.742712,2.6298909557408656,1.134496,148.836171,9.326788218793824,29.808492922564533,15.59,21.42,2.3288637967536996,14.5,17.0,9.0,4.0,50,50,50,0.34,0.18,0.08,True,False,1.103448275862069,15.5,16.0,-0.5773,-3.125
20260410,20260409,002384.SZ,元件,东山精密,131.9,10.0,12250396672.0,,182855835263.7,241589033998.4,6.76,102847969.0,93548,111709,7,2/2,2,U,131.9,132.3,404163270.0,0.22036,0.30326004548901775,4.0416327,1828.55835264,21.009174311926614,21.892616209222826,131.9,131.9,6.746726711700446,128.0,27.0,30.0,1.0,50,50,50,0.54,0.6,0.02,True,True,1.03359375,143.55,132.3,8.8324,8.503401360544217
20260410,20260409,002536.SZ,汽车零部件,飞龙股份,33.56,10.0,2170087968.0,,18270100077.0,19289814401.28,12.26,56649380.0,104242,140527,5,2/2,2,U,33.56,34.36,49131364.0,0.262656,2.3837902264600697,0.49131364,182.70100077,16.689847009735747,9.280364702051447,41.67,41.67,1.4421501147164895,30.95,20.0,23.0,18.0,50,50,50,0.4,0.46,0.36,False,False,1.110177705977383,34.31,34.36,2.2348,-0.14551804423747716
20260410,20260409,002975.SZ,自动化设,博杰股份,86.9,10.0,982113712.0,,9199145362.0,13930295331.7,10.85,137189725.0,93921,93921,0,2/2,2,U,86.9,86.64,40322256.0,0.439642,-0.2991944764096699,0.40322256,91.99145362,21.436556735606494,21.23325892857142,86.9,91.0,5.329113924050621,83.21,34.0,17.0,21.0,50,50,50,0.68,0.34,0.42,False,False,1.041221007090494,88.63,86.64,1.9908,2.296860572483835
